iter	Logloss
0	0.6643567009
1	0.6398939333
2	0.6212031149
3	0.6028270895
4	0.5835452018
5	0.5646346136
6	0.5496290764
7	0.5352820022
8	0.5259790107
9	0.5136091309
10	0.4876374454
11	0.4768842896
12	0.4656638791
13	0.452600637
14	0.4465670575
15	0.4387256873
16	0.4316229825
17	0.416774202
18	0.4117203643
19	0.4040605563
20	0.3976077202
21	0.3923271289
22	0.3817708983
23	0.3731165888
24	0.3668176467
25	0.3574957244
26	0.3539136143
27	0.3507840544
28	0.3446508524
29	0.3372936711
30	0.3334876678
31	0.3284741107
32	0.325189734
33	0.3175393984
34	0.3138683625
35	0.3091935308
36	0.305790525
37	0.2984633507
38	0.2931521363
39	0.2864686587
40	0.283358596
41	0.2792765847
42	0.2752695535
43	0.2725679201
44	0.2693782663
45	0.2655681456
46	0.2632839336
47	0.2604017738
48	0.2567703868
49	0.2541060234
50	0.2527588624
51	0.2519864851
52	0.249558747
53	0.2474832987
54	0.2458022693
55	0.2431981864
56	0.241782608
57	0.2404117083
58	0.2379224259
59	0.2360758695
60	0.2340345125
61	0.2309025669
62	0.2296332642
63	0.2278725417
64	0.2274469194
65	0.2255530281
66	0.2235143693
67	0.2219773483
68	0.2206290825
69	0.2187484227
70	0.2174334868
71	0.2164977077
72	0.2161004764
73	0.2148925232
74	0.2141333037
75	0.213353749
76	0.212140287
77	0.211612907
78	0.2110371562
79	0.2093777801
80	0.2085422989
81	0.2079240891
82	0.2071300825
83	0.2061189403
84	0.2054843093
85	0.2037801842
86	0.202884765
87	0.2021859735
88	0.2013478652
89	0.2004589444
90	0.2002416541
91	0.1999709527
92	0.1993550921
93	0.1989506644
94	0.1985105193
95	0.1977563516
96	0.196983434
97	0.1965898266
98	0.1958433785
99	0.1956025056
100	0.1951889394
101	0.1948141412
102	0.194310907
103	0.194116729
104	0.1937455654
105	0.193316207
106	0.1930905167
107	0.1927381795
108	0.1923768973
109	0.1920835377
110	0.1919367588
111	0.1911154023
112	0.1907397443
113	0.1906571396
114	0.1905577969
115	0.1899047604
116	0.1895370682
117	0.1889395232
118	0.1887149468
119	0.1886239153
120	0.1884785254
121	0.1881641726
122	0.1878913707
123	0.1877701426
124	0.1873030527
125	0.1870016585
126	0.1869035005
127	0.1865238429
128	0.1863218889
129	0.1860784604
130	0.1859804863
131	0.1858017081
132	0.1856509425
