iter	Passed	Remaining
0	69	69833
1	79	39564
2	89	29675
3	98	24497
4	110	22081
5	120	19952
6	129	18392
7	139	17357
8	149	16509
9	158	15709
10	167	15096
11	176	14567
12	186	14154
13	195	13784
14	204	13453
15	213	13153
16	223	12925
17	233	12745
18	242	12542
19	252	12363
20	261	12173
21	270	12013
22	279	11867
23	288	11735
24	298	11622
25	306	11493
26	315	11359
27	323	11242
28	332	11148
29	341	11055
30	349	10931
31	358	10859
32	366	10745
33	376	10687
34	384	10611
35	393	10536
36	401	10454
37	411	10405
38	420	10363
39	430	10333
40	439	10275
41	448	10231
42	457	10192
43	467	10147
44	475	10086
45	484	10040
46	492	9995
47	501	9940
48	510	9900
49	518	9858
50	527	9813
51	535	9768
52	544	9735
53	553	9695
54	563	9686
55	573	9662
56	582	9644
57	591	9607
58	600	9575
59	608	9537
60	618	9516
61	627	9495
62	636	9462
63	644	9425
64	652	9384
65	661	9368
66	670	9341
67	680	9322
68	688	9292
69	697	9263
70	706	9246
71	714	9210
72	722	9174
73	730	9146
74	738	9113
75	747	9089
76	757	9078
77	765	9046
78	773	9022
79	782	8996
80	791	8979
81	800	8957
82	808	8936
83	817	8912
84	825	8890
85	834	8869
86	842	8845
87	851	8826
88	860	8811
89	869	8790
90	878	8770
91	886	8752
92	895	8733
93	904	8715
94	912	8695
95	921	8676
96	929	8656
97	938	8635
98	947	8619
99	955	8601
100	964	8582
101	973	8567
102	981	8547
103	990	8534
104	999	8516
105	1007	8499
106	1015	8477
107	1024	8461
108	1033	8450
109	1043	8442
110	1052	8428
111	1060	8410
112	1069	8396
113	1078	8382
114	1087	8371
115	1097	8363
116	1106	8348
117	1115	8338
118	1124	8324
119	1133	8310
120	1142	8300
121	1152	8292
122	1161	8279
123	1169	8265
124	1179	8257
125	1188	8243
126	1196	8225
127	1205	8212
128	1216	8215
129	1225	8198
130	1233	8183
131	1243	8174
132	1252	8166
133	1262	8159
134	1271	8145
135	1279	8127
136	1288	8116
137	1297	8103
138	1306	8091
139	1315	8080
140	1324	8069
141	1333	8056
142	1341	8039
143	1350	8025
144	1359	8016
145	1368	8002
146	1376	7987
147	1384	7972
148	1393	7959
149	1401	7944
150	1410	7932
151	1419	7921
152	1428	7907
153	1437	7898
154	1446	7884
155	1454	7871
156	1464	7863
